identifier,X,Y,rmse,mae,mean_rel_error,lpips,lacunarity_error
20180603_hrrrt18_npk,20.0,0.98,18.555445,13.351846,0.075026326,0.0633647814393043,0.0461424093416726
20180603_hrrrt18_idw,20.0,0.98,15.676972,11.486726,0.12002843,0.2134282886981964,0.070263633274552
20180603_hrrrt18_ordinary_kriging,20.0,0.98,20.580091,16.131523,0.14721075,0.1462293565273285,0.0871823266705184
20180603_hrrrt18_pk,20.0,0.98,19.095446,14.445872,0.07789111,0.0609828159213066,0.0480835959443255
20180603_hrrrt18_npk,30.0,0.98,11.28433,8.518131,0.050975874,0.0530516505241394,0.0349447549974898
20180603_hrrrt18_idw,30.0,0.98,16.101828,11.963389,0.13147788,0.1772429943084716,0.0735378250354828
20180603_hrrrt18_ordinary_kriging,30.0,0.98,22.073423,17.641212,0.16339488,0.1414252817630767,0.0868658357199913
20180603_hrrrt18_pk,30.0,0.98,11.371141,8.493025,0.046933156,0.0412600450217723,0.0325505098313144
20180603_hrrrt18_npk,5.0,0.98,81.60666,68.68602,0.34101018,0.3269565105438232,0.315921605802527
20180603_hrrrt18_idw,5.0,0.98,19.122375,15.0136175,0.1267349,0.4748885035514831,0.0901192879865328
20180603_hrrrt18_ordinary_kriging,5.0,0.98,22.182161,17.809353,0.14245087,0.2015050798654556,0.0974073789790906
20180603_hrrrt18_pk,5.0,0.98,60.829445,48.77306,0.2422749,0.2503563165664673,0.2179965354934965
20180603_hrrrt20_npk,10.0,0.98,79.240524,64.868454,0.32943028,0.301664650440216,0.3087222250661342
20180603_hrrrt20_idw,10.0,0.98,15.427891,11.531597,0.112387724,0.3700923919677734,0.0736424734399545
20180603_hrrrt20_ordinary_kriging,10.0,0.98,19.696539,15.400867,0.13538581,0.2167569696903228,0.0835546903850476
20180603_hrrrt20_pk,10.0,0.98,48.746,39.41462,0.21034783,0.1946785449981689,0.1525453235804131
20180603_hrrrt20_npk,1.0,0.98,118.772896,114.1462,0.5666047,0.4528137743473053,0.3284027630584319
20180603_hrrrt20_idw,1.0,0.98,17.76173,13.46573,0.11881733,0.6567900776863098,0.057490773762136
20180603_hrrrt20_ordinary_kriging,1.0,0.98,22.576715,17.282051,0.13957682,0.3640326261520386,0.0119036590725054
20180603_hrrrt20_pk,1.0,0.98,83.754074,74.4843,0.3684393,0.3086923360824585,0.2747241365229146
20180603_hrrrt20_npk,20.0,0.98,16.47566,11.963076,0.075203784,0.0754267871379852,0.0407076403866693
20180603_hrrrt20_idw,20.0,0.98,13.909226,10.111688,0.11303395,0.2438225001096725,0.0642949493655948
20180603_hrrrt20_ordinary_kriging,20.0,0.98,17.709064,13.438816,0.13200267,0.1483442932367324,0.076295356019079
20180603_hrrrt20_pk,20.0,0.98,19.081167,14.275297,0.09225758,0.066811166703701,0.0530993426552498
20180603_hrrrt20_npk,30.0,0.98,11.775001,8.582287,0.06458225,0.0634422674775123,0.0282357077572849
20180603_hrrrt20_idw,30.0,0.98,14.54763,10.618201,0.12356825,0.1825043708086013,0.0662469710050709
20180603_hrrrt20_ordinary_kriging,30.0,0.98,19.154013,14.722106,0.14436874,0.1444724202156067,0.0762474613991379
20180603_hrrrt20_pk,30.0,0.98,11.2080345,8.241923,0.06820505,0.0571606159210205,0.035300534654557
20180603_hrrrt20_npk,5.0,0.98,79.65631,67.42009,0.33389756,0.3166547417640686,0.2956884406538676
20180603_hrrrt20_idw,5.0,0.98,16.463186,12.613566,0.115983784,0.4453539252281189,0.0799728642357651
20180603_hrrrt20_ordinary_kriging,5.0,0.98,15.941061,12.380011,0.11307472,0.1783086955547332,0.0766012169246109
20180603_hrrrt20_pk,5.0,0.98,69.47829,56.080875,0.2840393,0.2684560716152191,0.2727017437814724
20180610_hrrrt19_npk,10.0,0.98,58.766663,48.55194,0.26437533,0.2258679270744323,0.2483602289324561
20180610_hrrrt19_idw,10.0,0.98,27.259623,20.275562,0.20226514,0.3070745468139648,0.1187262163762022
20180610_hrrrt19_ordinary_kriging,10.0,0.98,31.350132,24.599133,0.22582528,0.1868379861116409,0.1258311562315778
20180610_hrrrt19_pk,10.0,0.98,45.41783,35.671616,0.20223394,0.1301126629114151,0.2127762917059414
20180610_hrrrt19_npk,1.0,0.98,119.78389,110.63683,0.56053823,0.5025379657745361,0.3203003214278995
20180610_hrrrt19_idw,1.0,0.98,31.631483,24.573965,0.21824375,0.6051507592201233,0.1155089708657732
20180610_hrrrt19_ordinary_kriging,1.0,0.98,29.790665,23.468441,0.20946708,0.4871496856212616,0.1286033781676718
20180610_hrrrt19_pk,1.0,0.98,96.40488,84.70179,0.44166505,0.4852644801139831,0.3484914917966833
20180610_hrrrt19_npk,20.0,0.98,10.4305105,7.192859,0.052232135,0.0141696697100996,0.014459702138281
20180610_hrrrt19_idw,20.0,0.98,25.229662,18.792799,0.19858289,0.1599658727645874,0.1061838644594428
