identifier,X,Y,rmse,mae,mean_rel_error,lpips,lacunarity_error
20180628_hrrrt20_npk,10.0,0.98,70.76653289794922,57.71114730834961,0.299328088760376,0.2428271025419235,0.221890953290739
20180628_hrrrt20_idw,10.0,0.98,22.172792434692383,17.057228088378906,0.205284982919693,0.3453215956687927,0.0779759694822607
20180628_hrrrt20_ordinary_kriging,10.0,0.98,24.301738739013672,19.235151290893555,0.215756356716156,0.1506841331720352,0.0808973396958274
20180628_hrrrt20_pk,10.0,0.98,68.4347915649414,53.80239868164063,0.2720762193202972,0.2331016212701797,0.2220620532168412
20180628_hrrrt20_npk,1.0,0.98,121.4659194946289,115.64373779296876,0.5783454179763794,0.5188612937927246,0.2831512149515259
20180628_hrrrt20_idw,1.0,0.98,24.83206367492676,19.746301651000977,0.2121833264827728,0.620274007320404,0.0812699811942912
20180628_hrrrt20_ordinary_kriging,1.0,0.98,24.301782608032227,19.15754508972168,0.2081803232431411,0.5613585114479065,0.0863170901829061
20180628_hrrrt20_pk,1.0,0.98,113.8925323486328,101.89800262451172,0.5151695013046265,0.5646010041236877,0.3833822851207592
20180628_hrrrt20_npk,20.0,0.98,12.84018325805664,9.314006805419922,0.082907423377037,0.0186768136918544,0.0440475523955557
20180628_hrrrt20_idw,20.0,0.98,19.68058204650879,13.9453763961792,0.2161480188369751,0.1787134110927581,0.0648274796904859
20180628_hrrrt20_ordinary_kriging,20.0,0.98,22.78986930847168,17.498321533203125,0.2290567308664322,0.146520659327507,0.0764268517364382
20180628_hrrrt20_pk,20.0,0.98,12.170936584472656,9.059428215026855,0.075961522758007,0.015438868664205,0.0401560175895775
20180628_hrrrt20_npk,30.0,0.98,7.569160461425781,5.660390377044678,0.0292041059583425,0.0137110855430364,0.0208352460790908
20180628_hrrrt20_idw,30.0,0.98,18.814062118530277,14.082635879516602,0.0840705186128616,0.1275430917739868,0.0629523020866998
20180628_hrrrt20_ordinary_kriging,30.0,0.98,23.471176147460938,18.84937286376953,0.1064311191439628,0.1133595257997512,0.0735396304730385
20180628_hrrrt20_pk,30.0,0.98,7.464600563049316,5.400881290435791,0.0290605314075946,0.0132926413789391,0.0173911022636312
20180628_hrrrt20_npk,5.0,0.98,88.26482391357422,74.39183044433594,0.3721978068351745,0.3195438981056213,0.3246436670274694
20180628_hrrrt20_idw,5.0,0.98,22.19403076171875,17.220966339111328,0.20472152531147,0.4199645519256592,0.0822870888562248
20180628_hrrrt20_ordinary_kriging,5.0,0.98,23.33745765686035,18.29316520690918,0.2113483101129531,0.2120943367481231,0.0847333050852758
20180628_hrrrt20_pk,5.0,0.98,74.91143798828125,60.11739349365234,0.3126073181629181,0.2568601965904236,0.2610643668627339
20180701_hrrrt20_npk,10.0,0.98,53.920169830322266,41.95985794067383,0.2523238956928253,0.1261869966983795,0.2343779951809853
20180701_hrrrt20_idw,10.0,0.98,22.398860931396484,17.924327850341797,0.1524228602647781,0.3372837901115417,0.1469028046482985
20180701_hrrrt20_ordinary_kriging,10.0,0.98,35.38042068481445,29.409818649291992,0.2405206561088562,0.3137386441230774,0.191014070721697
20180701_hrrrt20_pk,10.0,0.98,60.39875793457031,47.74614334106445,0.2834783792495727,0.137406900525093,0.2844050914195396
20180701_hrrrt20_npk,1.0,0.98,100.61965942382812,94.22879791259766,0.5491449236869812,0.3662260472774505,0.3775744255741239
20180701_hrrrt20_idw,1.0,0.98,25.60098648071289,20.453895568847656,0.1732989698648452,0.5467912554740906,0.1684950681718581
20180701_hrrrt20_ordinary_kriging,1.0,0.98,37.10850524902344,31.126972198486328,0.2512561380863189,0.4769797325134277,0.2002848774836337
20180701_hrrrt20_pk,1.0,0.98,78.09625244140625,67.47469329833984,0.387273758649826,0.2699935436248779,0.2985719957240397
20180701_hrrrt20_npk,20.0,0.98,18.83353805541992,14.331706047058104,0.091410182416439,0.0642838180065155,0.0570007709492975
20180701_hrrrt20_idw,20.0,0.98,22.74606132507324,18.304851531982425,0.1672219187021255,0.1901926398277282,0.1508790952808851
20180701_hrrrt20_ordinary_kriging,20.0,0.98,29.105194091796875,23.393651962280277,0.2059656381607055,0.1660286635160446,0.1709554373788855
20180701_hrrrt20_pk,20.0,0.98,18.193361282348636,13.696755409240724,0.0908162519335746,0.0531543418765068,0.0403279163825106
20180701_hrrrt20_npk,30.0,0.98,11.008380889892578,8.531729698181152,0.0709773525595665,0.0464542359113693,0.0566748751742148
20180701_hrrrt20_idw,30.0,0.98,21.53638458251953,16.94769859313965,0.1666872054338455,0.1764849424362182,0.1340554709780049
20180701_hrrrt20_ordinary_kriging,30.0,0.98,22.352975845336918,16.41004180908203,0.1686196625232696,0.1233364194631576,0.139664910861947
20180701_hrrrt20_pk,30.0,0.98,10.503670692443848,7.8630690574646,0.0659869834780693,0.0480716377496719,0.0431791017167389
20180701_hrrrt20_npk,5.0,0.98,61.86684036254883,52.58350372314453,0.3085049092769623,0.1355764716863632,0.2753748059291396
20180701_hrrrt20_idw,5.0,0.98,25.255895614624023,20.54727554321289,0.1721560060977935,0.3721209466457367,0.1685373663014805
20180701_hrrrt20_ordinary_kriging,5.0,0.98,34.571868896484375,28.52492332458496,0.2316072136163711,0.2377129793167114,0.1918177248282771
20180701_hrrrt20_pk,5.0,0.98,60.85389709472656,49.39383316040039,0.3009048402309418,0.1307318806648254,0.3360120201404908
20180704_hrrrt21_npk,10.0,0.98,64.57801055908203,54.60130310058594,0.2913032174110412,0.2470671683549881,0.3121551013141755
20180704_hrrrt21_idw,10.0,0.98,19.60911750793457,14.241930961608888,0.1404513865709304,0.2778460085391998,0.09103154257923
20180704_hrrrt21_ordinary_kriging,10.0,0.98,25.40814018249512,19.450502395629883,0.166857972741127,0.173566460609436,0.1020253715928979
20180704_hrrrt21_pk,10.0,0.98,41.469974517822266,32.36350631713867,0.1849143207073211,0.1289673596620559,0.2144571639935435
20180704_hrrrt21_npk,1.0,0.98,111.46317291259766,103.76725769042967,0.5260785818099976,0.5253756046295166,0.3571378921987348
20180704_hrrrt21_idw,1.0,0.98,25.63372802734375,19.285749435424805,0.1659572124481201,0.5682860612869263,0.1063392158856266
20180704_hrrrt21_ordinary_kriging,1.0,0.98,25.881834030151367,19.487672805786133,0.16713447868824,0.4939472079277038,0.1061947197152206
20180704_hrrrt21_pk,1.0,0.98,87.88438415527344,77.99688720703125,0.3987609446048736,0.5349408388137817,0.3251955306554733
20180704_hrrrt21_npk,20.0,0.98,13.798983573913574,9.324992179870604,0.0588168315589427,0.02431071549654,0.073074052846776
20180704_hrrrt21_idw,20.0,0.98,16.189977645874023,10.753738403320312,0.124681532382965,0.1634254455566406,0.0745936470466139
20180704_hrrrt21_ordinary_kriging,20.0,0.98,23.760406494140625,18.22490119934082,0.1633518636226654,0.1584078669548034,0.0961999276164153
20180704_hrrrt21_pk,20.0,0.98,20.63278579711914,12.595245361328123,0.076201431453228,0.0323009267449379,0.1040958307672091
20180704_hrrrt21_npk,30.0,0.98,6.724842071533203,5.024755954742432,0.0418892800807952,0.0107276076450943,0.0357679550375349
20180704_hrrrt21_idw,30.0,0.98,15.862170219421388,10.478033065795898,0.1308547556400299,0.1325229704380035,0.0678185458983676
20180704_hrrrt21_ordinary_kriging,30.0,0.98,24.781957626342773,19.073570251464844,0.173471987247467,0.1504572331905365,0.0920538519146026
20180704_hrrrt21_pk,30.0,0.98,6.739624500274658,4.977606296539307,0.0341593921184539,0.0097079472616314,0.0316794324114013
20180704_hrrrt21_npk,5.0,0.98,69.29932403564453,62.56731796264648,0.3346090912818908,0.2617596983909607,0.3003985866550669
20180704_hrrrt21_idw,5.0,0.98,25.397315979003903,18.982013702392575,0.1677760630846023,0.3359077572822571,0.1019432718905784
20180704_hrrrt21_ordinary_kriging,5.0,0.98,28.32152366638184,21.85842704772949,0.1816242188215255,0.1938321590423584,0.1044283221886237
20180704_hrrrt21_pk,5.0,0.98,59.01920700073242,48.08358001708984,0.2649163603782654,0.2056222856044769,0.3196204844881274
20180705_hrrrt18_npk,10.0,0.98,78.56635284423828,63.5646858215332,0.3032843172550201,0.2599143981933594,0.2090848886384513
20180705_hrrrt18_idw,10.0,0.98,25.000547409057617,20.778409957885746,0.1554387509822845,0.2409158051013946,0.1150407231491424
20180705_hrrrt18_ordinary_kriging,10.0,0.98,27.10230255126953,22.5538387298584,0.1641317009925842,0.1308598071336746,0.112099917878507
20180705_hrrrt18_pk,10.0,0.98,66.67682647705078,52.83038330078125,0.256299614906311,0.2021343857049942,0.1327628106872106
20180705_hrrrt18_npk,1.0,0.98,124.2963638305664,116.67406463623048,0.5593884587287903,0.544305682182312,0.3517775499039003
20180705_hrrrt18_idw,1.0,0.98,24.957178115844727,20.713756561279297,0.1563341617584228,0.5496103763580322,0.1205445634784655
20180705_hrrrt18_ordinary_kriging,1.0,0.98,23.52256202697754,18.475099563598636,0.1441640108823776,0.4685366749763489,0.1123742301349883
20180705_hrrrt18_pk,1.0,0.98,107.80880737304688,94.0576171875,0.4390647709369659,0.4873394072055816,0.3320565634840933
20180705_hrrrt18_npk,20.0,0.98,16.158771514892578,11.984742164611816,0.0846746489405632,0.0622934624552726,0.0607465324603526
20180705_hrrrt18_idw,20.0,0.98,17.136005401611328,11.16478443145752,0.1257935464382171,0.1533135920763015,0.0953925060766292
20180705_hrrrt18_ordinary_kriging,20.0,0.98,16.3837947845459,11.286237716674805,0.1260655373334884,0.1154889985918998,0.0850251629963378
20180705_hrrrt18_pk,20.0,0.98,14.138330459594728,10.275297164916992,0.0688365027308464,0.051472932100296,0.0521680352651981
20180705_hrrrt18_npk,30.0,0.98,10.81291389465332,7.412133693695068,0.0536800697445869,0.0433355569839477,0.0240123147894868
20180705_hrrrt18_idw,30.0,0.98,12.985884666442873,9.328452110290527,0.1197054162621498,0.1233425438404083,0.0716752906315009
20180705_hrrrt18_ordinary_kriging,30.0,0.98,13.314011573791504,9.449790954589844,0.1216934844851493,0.1038827076554298,0.06637298854417
20180705_hrrrt18_pk,30.0,0.98,10.476181030273438,7.306901454925537,0.0557919517159462,0.0411817133426666,0.0273994959830674
20180705_hrrrt18_npk,5.0,0.98,105.73563385009766,87.56680297851562,0.4029673933982849,0.3199034929275512,0.3537965799025263
20180705_hrrrt18_idw,5.0,0.98,26.401721954345703,22.32117080688477,0.1587094366550445,0.3035619854927063,0.1179966062989776
20180705_hrrrt18_ordinary_kriging,5.0,0.98,29.75994682312012,25.726362228393555,0.1757295876741409,0.1911178231239318,0.1213168801595174
20180705_hrrrt18_pk,5.0,0.98,87.44287109375,69.8093032836914,0.3238026201725006,0.2668378949165344,0.2572396746957175
20180709_hrrrt23_npk,10.0,0.98,69.5867691040039,57.01329040527344,0.2941343486309051,0.2516053020954132,0.2672254612526786
20180709_hrrrt23_idw,10.0,0.98,25.10613250732422,19.73365974426269,0.1653488725423813,0.426651120185852,0.1106271744230437
20180709_hrrrt23_ordinary_kriging,10.0,0.98,28.977296829223636,23.780851364135746,0.1924383044242859,0.1969385594129562,0.1210950314811723
20180709_hrrrt23_pk,10.0,0.98,54.446571350097656,43.31096649169922,0.2195415049791336,0.1735734343528747,0.197320092401061
20180709_hrrrt23_npk,1.0,0.98,111.9260025024414,104.3900375366211,0.5423863530158997,0.4335526823997497,0.295304198512754
20180709_hrrrt23_idw,1.0,0.98,29.190149307250977,23.52638053894043,0.1923027336597442,0.678552508354187,0.1230560425579194
20180709_hrrrt23_ordinary_kriging,1.0,0.98,39.571136474609375,33.13017654418945,0.2359823584556579,0.5570142865180969,0.0896330010617514
20180709_hrrrt23_pk,1.0,0.98,99.8445816040039,87.78717803955078,0.4577138125896454,0.477132499217987,0.3501194063653771
20180709_hrrrt23_npk,20.0,0.98,17.375627517700195,12.817516326904297,0.0738027319312095,0.0642058998346328,0.0555982329395321
20180709_hrrrt23_idw,20.0,0.98,23.93310165405273,18.394262313842773,0.1651351302862167,0.2027801424264907,0.0990440009117419
20180709_hrrrt23_ordinary_kriging,20.0,0.98,29.046077728271484,23.9060115814209,0.2011080980300903,0.1892851591110229,0.1152993272879184
20180709_hrrrt23_pk,20.0,0.98,19.60905265808105,13.684226989746094,0.0740861818194389,0.0577186420559883,0.0748753116428422
20180709_hrrrt23_npk,30.0,0.98,11.999476432800291,9.12203598022461,0.0546941496431827,0.0525669418275356,0.0367956665196755
20180709_hrrrt23_idw,30.0,0.98,22.858007431030277,17.943862915039062,0.1556234061717987,0.133857250213623,0.0913396919520802
20180709_hrrrt23_ordinary_kriging,30.0,0.98,30.62276077270508,25.94037628173828,0.2019059509038925,0.1445247232913971,0.1099930331058021
20180709_hrrrt23_pk,30.0,0.98,12.08576488494873,9.13693141937256,0.0475177839398384,0.0468076467514038,0.032588383003304
20180709_hrrrt23_npk,5.0,0.98,80.35391235351562,67.01207733154297,0.3516451120376587,0.2756865322589874,0.3466235911561733
20180709_hrrrt23_idw,5.0,0.98,30.36064910888672,23.22995948791504,0.1976534277200698,0.4848790764808655,0.120171351572817
20180709_hrrrt23_ordinary_kriging,5.0,0.98,32.32431411743164,25.19527244567871,0.2107660323381424,0.2402784526348114,0.1261420165004981
20180709_hrrrt23_pk,5.0,0.98,75.74628448486328,61.2442512512207,0.3213886618614197,0.2976434230804443,0.3152302656528148
20180712_hrrrt21_npk,10.0,0.98,73.52772521972656,60.382423400878906,0.2837509214878082,0.2520214915275574,0.2562878803695481
20180712_hrrrt21_idw,10.0,0.98,15.963581085205078,11.099538803100586,0.0809312090277671,0.3251371383666992,0.0556642233844717
20180712_hrrrt21_ordinary_kriging,10.0,0.98,19.340614318847656,14.51451015472412,0.096299223601818,0.1895374059677124,0.061168502231485
20180712_hrrrt21_pk,10.0,0.98,37.93937683105469,31.46773338317871,0.1477143317461013,0.1306629478931427,0.1014124562411321
20180712_hrrrt21_npk,1.0,0.98,124.82061004638672,117.49629974365234,0.5725692510604858,0.5233842134475708,0.366487540547225
20180712_hrrrt21_idw,1.0,0.98,19.18168830871582,13.193540573120115,0.1455233991146087,0.5972900390625,0.0604803339628144
20180712_hrrrt21_ordinary_kriging,1.0,0.98,23.97087860107422,18.097633361816406,0.1689138263463974,0.5318536758422852,0.0212452669888959
20180712_hrrrt21_pk,1.0,0.98,100.75727081298828,90.38748931884766,0.4433431029319763,0.4701513946056366,0.3327312559400142
20180712_hrrrt21_npk,20.0,0.98,17.074949264526367,12.496185302734377,0.0621288642287254,0.0433793812990188,0.0475533418464474
20180712_hrrrt21_idw,20.0,0.98,15.994935989379885,10.710711479187012,0.0829055607318878,0.2148391753435135,0.057036062508536
20180712_hrrrt21_ordinary_kriging,20.0,0.98,18.842472076416016,13.715593338012695,0.0996495708823204,0.1787823587656021,0.0646203726983026
20180712_hrrrt21_pk,20.0,0.98,18.012950897216797,13.372309684753418,0.064075618982315,0.0409231856465339,0.0471356037428644
20180712_hrrrt21_npk,30.0,0.98,9.339670181274414,6.930962562561035,0.0339881666004657,0.036392442882061,0.0300993014811552
20180712_hrrrt21_idw,30.0,0.98,16.05599594116211,10.924686431884766,0.082990176975727,0.1922401785850525,0.0557121904250454
20180712_hrrrt21_ordinary_kriging,30.0,0.98,19.401784896850582,14.46548080444336,0.1024694517254829,0.1727281063795089,0.0630626246718494
20180712_hrrrt21_pk,30.0,0.98,9.23565673828125,6.732746124267578,0.0324780344963073,0.0324228964745998,0.0314311514960076
20180712_hrrrt21_npk,5.0,0.98,80.12773895263672,67.93756103515625,0.3304881155490875,0.283042848110199,0.2698290286244131
20180712_hrrrt21_idw,5.0,0.98,16.99861717224121,11.444244384765623,0.1374259740114212,0.3693409562110901,0.061699198158367
20180712_hrrrt21_ordinary_kriging,5.0,0.98,19.54952621459961,13.718910217285156,0.1513644903898239,0.2585716247558594,0.0696166318262256
20180712_hrrrt21_pk,5.0,0.98,93.78529357910156,75.4814682006836,0.3738925457000732,0.3026617169380188,0.3900864178489576
20180712_hrrrt22_npk,10.0,0.98,76.90835571289062,63.38893508911133,0.2919289469718933,0.2916100323200226,0.2597906050805211
20180712_hrrrt22_idw,10.0,0.98,17.532363891601562,12.660157203674316,0.0896145403385162,0.3515447974205017,0.0616201451946471
20180712_hrrrt22_ordinary_kriging,10.0,0.98,20.8684196472168,15.83102798461914,0.1052220910787582,0.1821910291910171,0.0678248504909721
20180712_hrrrt22_pk,10.0,0.98,55.20778274536133,44.13335418701172,0.2020971477031707,0.1942318081855774,0.1642603445563716
20180712_hrrrt22_npk,1.0,0.98,127.28793334960938,119.75172424316406,0.5828107595443726,0.5258933305740356,0.397384117719801
20180712_hrrrt22_idw,1.0,0.98,21.40251922607422,15.013067245483398,0.1740203946828842,0.6356445550918579,0.0710650969762524
20180712_hrrrt22_ordinary_kriging,1.0,0.98,27.755088806152344,21.81336212158203,0.2026118040084839,0.5559774041175842,0.0362961722485565
20180712_hrrrt22_pk,1.0,0.98,106.42686462402344,95.79808044433594,0.456329345703125,0.4789725542068481,0.3301212402383354
20180712_hrrrt22_npk,20.0,0.98,18.147817611694336,13.294476509094238,0.0644342377781868,0.0450923554599285,0.0065957816983556
20180712_hrrrt22_idw,20.0,0.98,17.112625122070312,11.86725616455078,0.0907440409064292,0.2372979819774627,0.0618173752028609
20180712_hrrrt22_ordinary_kriging,20.0,0.98,20.36739921569824,14.921269416809082,0.1097196266055107,0.1918848603963852,0.0705498664706449
20180712_hrrrt22_pk,20.0,0.98,17.61872673034668,13.620944023132324,0.0642836242914199,0.0430491305887699,0.0171547983283044
20180712_hrrrt22_npk,30.0,0.98,10.104129791259766,7.1094841957092285,0.0364177301526069,0.0372896566987037,0.034106247117153
20180712_hrrrt22_idw,30.0,0.98,16.97858428955078,11.556137084960938,0.0914420038461685,0.2164599001407623,0.0589632311505141
20180712_hrrrt22_ordinary_kriging,30.0,0.98,20.537248611450195,14.896443367004396,0.1124665960669517,0.2045893669128418,0.0680712089273285
20180712_hrrrt22_pk,30.0,0.98,10.346510887145996,7.1802496910095215,0.0354044400155544,0.0328490175306797,0.0311065595233355
20180712_hrrrt22_npk,5.0,0.98,85.25102233886719,70.98869323730469,0.3415951430797577,0.293556272983551,0.2970386343188
20180712_hrrrt22_idw,5.0,0.98,18.14888572692871,13.052672386169434,0.1470114141702652,0.4026374816894531,0.0712130382920209
20180712_hrrrt22_ordinary_kriging,5.0,0.98,21.082054138183597,15.279805183410645,0.161357894539833,0.2544755935668945,0.0755881737136309
20180712_hrrrt22_pk,5.0,0.98,89.65137481689453,71.89775848388672,0.3426393270492553,0.3070079982280731,0.3357972578753796
20180716_hrrrt17_npk,10.0,0.98,36.288124084472656,30.48955726623535,0.2442603111267089,0.1018545851111412,0.2688507703052323
20180716_hrrrt17_idw,10.0,0.98,27.413938522338867,19.87550926208496,0.291587084531784,0.2808143496513366,0.225098537084639
20180716_hrrrt17_ordinary_kriging,10.0,0.98,37.54294204711914,29.141036987304688,0.3907065987586975,0.2636992335319519,0.2547048978178894
20180716_hrrrt17_pk,10.0,0.98,37.80167388916016,31.75813865661621,0.2654429376125335,0.1071384996175766,0.3098670775114689
20180716_hrrrt17_npk,1.0,0.98,66.65341186523438,60.597633361816406,0.4503274857997894,0.2585150897502899,0.335521292081924
20180716_hrrrt17_idw,1.0,0.98,56.25100326538086,44.37697219848633,0.6235474348068237,0.5806936621665955,0.2204753010628726
20180716_hrrrt17_ordinary_kriging,1.0,0.98,62.17548370361328,54.26799774169922,0.7296686172485352,0.5400111675262451,0.2898281153874459
20180716_hrrrt17_pk,1.0,0.98,29.741838455200195,25.539838790893555,0.2305853962898254,0.1447596698999405,0.1723280611172354
20180716_hrrrt17_npk,20.0,0.98,21.509449005126957,17.460786819458008,0.1386988013982772,0.0486527420580387,0.0600762542575312
20180716_hrrrt17_idw,20.0,0.98,26.41936683654785,19.29813766479492,0.2464786767959594,0.2175080627202987,0.1805864292123421
20180716_hrrrt17_ordinary_kriging,20.0,0.98,26.55167007446289,19.958498001098636,0.2709623277187347,0.1711966097354889,0.2010007565381936
20180716_hrrrt17_pk,20.0,0.98,20.43712043762207,15.999035835266112,0.1237301230430603,0.0414458476006984,0.0852669917763623
20180716_hrrrt17_npk,30.0,0.98,13.366456031799316,10.702580451965332,0.0849393680691719,0.0347508005797863,0.0809670889199192
20180716_hrrrt17_idw,30.0,0.98,22.40824317932129,15.712343215942385,0.2471137195825576,0.1842243820428848,0.1803801053002891
20180716_hrrrt17_ordinary_kriging,30.0,0.98,19.563953399658203,13.806137084960938,0.2441522628068924,0.1548272520303726,0.1650593870314993
20180716_hrrrt17_pk,30.0,0.98,12.855145454406738,10.061674118041992,0.0892245024442672,0.0354046113789081,0.0801298453135474
20180716_hrrrt17_npk,5.0,0.98,45.96065902709961,39.71197509765625,0.3034349977970123,0.1186220794916153,0.3276108702907757
20180716_hrrrt17_idw,5.0,0.98,29.338624954223636,21.68191146850586,0.3048820197582245,0.2927029728889465,0.2418771695476932
20180716_hrrrt17_ordinary_kriging,5.0,0.98,36.55857467651367,26.885406494140625,0.3486589789390564,0.2595265507698059,0.2430375028050494
20180716_hrrrt17_pk,5.0,0.98,27.99981689453125,23.062482833862305,0.1970222294330597,0.0998734906315803,0.2292757308818438
20180718_hrrrt22_npk,10.0,0.98,62.7186393737793,53.11662673950195,0.3083868324756622,0.1791750639677047,0.2480602062470005
20180718_hrrrt22_idw,10.0,0.98,20.487964630126957,15.490914344787598,0.2295089960098266,0.2852608263492584,0.100527053277126
20180718_hrrrt22_ordinary_kriging,10.0,0.98,25.329105377197266,19.186601638793945,0.2657320201396942,0.3809564411640167,0.1180063422728937
20180718_hrrrt22_pk,10.0,0.98,65.46202087402344,56.12392807006836,0.3220323920249939,0.1815486848354339,0.2760887577329541
20180718_hrrrt22_npk,1.0,0.98,114.41521453857422,108.45932006835938,0.5974351167678833,0.4465003907680511,0.3945429372098168
20180718_hrrrt22_idw,1.0,0.98,25.17060661315918,18.56878662109375,0.2426173388957977,0.5523647665977478,0.1135252474266235
20180718_hrrrt22_ordinary_kriging,1.0,0.98,27.49641227722168,20.121301651000977,0.2590656876564026,0.555039644241333,0.1236678412321164
20180718_hrrrt22_pk,1.0,0.98,85.05657958984375,78.44458770751953,0.4373168647289276,0.3632833063602447,0.2870218932938707
20180718_hrrrt22_npk,20.0,0.98,24.656497955322266,18.55874252319336,0.1039152145385742,0.0688484162092208,0.0415668563331386
20180718_hrrrt22_idw,20.0,0.98,18.97007942199707,14.123893737792969,0.2446180284023285,0.2269978076219558,0.0961570329082033
20180718_hrrrt22_ordinary_kriging,20.0,0.98,25.840978622436523,19.44614028930664,0.2860937416553497,0.2916610240936279,0.1141618014586433
20180718_hrrrt22_pk,20.0,0.98,20.825340270996094,15.768712043762209,0.0933258309960365,0.0627942010760307,0.0037976861972811
20180718_hrrrt22_npk,30.0,0.98,12.436589241027832,8.834728240966797,0.0562235563993454,0.0384932905435562,0.0214386309653416
20180718_hrrrt22_idw,30.0,0.98,18.053895950317383,13.277894020080566,0.2676596641540527,0.2096615433692932,0.095121896870957
20180718_hrrrt22_ordinary_kriging,30.0,0.98,25.944664001464844,19.92329216003418,0.3156730234622955,0.29264897108078,0.1109380998374909
20180718_hrrrt22_pk,30.0,0.98,12.681660652160645,9.176945686340332,0.0554822161793708,0.0333216823637485,0.0491483118024204
20180718_hrrrt22_npk,5.0,0.98,72.30435180664062,62.66598129272461,0.3463121354579925,0.190772458910942,0.3051265107880986
20180718_hrrrt22_idw,5.0,0.98,23.053525924682617,17.169065475463867,0.2312620431184768,0.3310906887054443,0.1026642807040275
20180718_hrrrt22_ordinary_kriging,5.0,0.98,25.939851760864254,19.4118709564209,0.2581072449684143,0.4151991009712219,0.1209403927866039
20180718_hrrrt22_pk,5.0,0.98,67.63301849365234,56.47146224975586,0.3209010660648346,0.1739092469215393,0.3200313731711165
20180722_hrrrt19_npk,10.0,0.98,31.367395401000977,24.41469955444336,0.1800725609064102,0.1406084597110748,0.1167032114692179
20180722_hrrrt19_idw,10.0,0.98,40.05338668823242,30.147544860839844,0.4100140631198883,0.3266412615776062,0.2548428083491572
20180722_hrrrt19_ordinary_kriging,10.0,0.98,49.211273193359375,38.36777877807617,0.510556697845459,0.3393757939338684,0.2790131297625626
20180722_hrrrt19_pk,10.0,0.98,33.23173522949219,25.56339263916016,0.1912008076906204,0.1333214342594146,0.1618786307036975
20180722_hrrrt19_npk,1.0,0.98,63.26322937011719,52.58555221557617,0.3571626245975494,0.2403278350830078,0.188474900612739
20180722_hrrrt19_idw,1.0,0.98,56.11563491821289,43.84788131713867,0.5423699617385864,0.5537113547325134,0.2673843674368759
20180722_hrrrt19_ordinary_kriging,1.0,0.98,60.35292816162109,50.11168670654297,0.6158285737037659,0.5362572073936462,0.2958241025745473
20180722_hrrrt19_pk,1.0,0.98,49.121673583984375,40.05709838867188,0.2903904914855957,0.2263759523630142,0.1504375732726658
20180722_hrrrt19_npk,20.0,0.98,19.906103134155277,13.697588920593262,0.1088341102004051,0.0795790627598762,0.0576361674420856
20180722_hrrrt19_idw,20.0,0.98,22.90848922729492,17.76624870300293,0.2637791335582733,0.1842011064291,0.1887217608310069
20180722_hrrrt19_ordinary_kriging,20.0,0.98,27.01994132995605,20.417150497436523,0.3012280762195587,0.2146507650613784,0.2111477748041813
20180722_hrrrt19_pk,20.0,0.98,19.19381332397461,13.895599365234377,0.1122809797525405,0.0896084159612655,0.0354415164779587
20180722_hrrrt19_npk,30.0,0.98,11.955796241760254,9.18863296508789,0.087310791015625,0.0875077545642852,0.0488577462053819
20180722_hrrrt19_idw,30.0,0.98,22.744647979736328,17.393653869628906,0.2775613963603973,0.1910975277423858,0.1794998361711008
20180722_hrrrt19_ordinary_kriging,30.0,0.98,21.26679229736328,15.647489547729492,0.2654207050800323,0.1950606107711792,0.1753171384600909
20180722_hrrrt19_pk,30.0,0.98,11.935075759887695,8.77055835723877,0.0814871042966842,0.0645434558391571,0.0353292670791503
20180722_hrrrt19_npk,5.0,0.98,35.89244079589844,28.955293655395508,0.2128507643938064,0.1600045412778854,0.1756338996491965
20180722_hrrrt19_idw,5.0,0.98,40.96890640258789,31.387975692749023,0.4127517938613891,0.3566239774227142,0.2662585292702725
20180722_hrrrt19_ordinary_kriging,5.0,0.98,45.20820236206055,32.806270599365234,0.4350665509700775,0.2914960980415344,0.2682686191457628
20180722_hrrrt19_pk,5.0,0.98,38.26593780517578,31.558019638061523,0.2464490979909896,0.1563791334629058,0.2992861804231654
20180728_hrrrt23_npk,10.0,0.98,62.93608856201172,52.22213363647461,0.2924482822418213,0.1969778090715408,0.2607968812455565
20180728_hrrrt23_idw,10.0,0.98,18.33543586730957,13.704909324645996,0.1616943329572677,0.2415670752525329,0.1110023925809576
20180728_hrrrt23_ordinary_kriging,10.0,0.98,27.88376235961914,22.0867919921875,0.2234547883272171,0.2859272360801697,0.1365444461930514
20180728_hrrrt23_pk,10.0,0.98,60.522220611572266,49.705596923828125,0.2762768864631653,0.1845641732215881,0.2548375845499832
20180728_hrrrt23_npk,1.0,0.98,94.146240234375,87.78697967529297,0.4887327253818512,0.436370700597763,0.3228121908050909
20180728_hrrrt23_idw,1.0,0.98,18.20405387878418,11.749013900756836,0.1571203172206878,0.5921173095703125,0.0640833805427057
20180728_hrrrt23_ordinary_kriging,1.0,0.98,24.700603485107425,19.14595603942871,0.2121436893939972,0.4934033751487732,0.1347136826649148
20180728_hrrrt23_pk,1.0,0.98,70.00875091552734,61.40410232543945,0.3480785191059112,0.403174489736557,0.2908522449310517
20180728_hrrrt23_npk,20.0,0.98,18.57084846496582,13.9951171875,0.0862029492855072,0.0494800247251987,0.0822567163948643
20180728_hrrrt23_idw,20.0,0.98,16.91027069091797,11.075984001159668,0.1647418588399887,0.1928198486566543,0.1059545755456814
20180728_hrrrt23_ordinary_kriging,20.0,0.98,27.090599060058597,21.168142318725582,0.2334436625242233,0.2158041596412658,0.1309382594426621
